date_audit,jour,nb_files,score_req,score_id,score_comp,score_times,score_za,nb_ag,nb_lines,nb_sp,nb_sa,nb_trips,nb_st,nb_cal,prof,pa,p_au,p_at,p_al,p_ap,p_af,pr,p_rc,p_rt,pt,p_th,p_td,pst,p_stp,p_std,vr,vt,i_t1,i_t2,sa_pps,sa_aps,sa_usa,as_wb,at,at_wa,at_ba,h,h_d,h_a,h_s,h_c,nb_ex,ra,rr,rs,rt,rst,rc,vc
19/02/2025,2025-02-19,6.0,94.33333333333333,100.0,77.5,50.0,77.32806324110672,1.0,39.0,246.0,7.0,593.0,9450.0,23.0,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/02/2025,2025-02-20,9.0,94.33333333333333,100.0,77.5,50.0,77.32806324110672,1.0,39.0,246.0,7.0,593.0,9450.0,23.0,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/02/2025,2025-02-21,15.0,94.33333333333333,100.0,77.5,50.0,77.32806324110672,1.0,39.0,246.0,7.0,593.0,9450.0,23.0,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2025,2025-03-25,9.0,100.0,100.0,100.0,100.0,100.0,1.0,61.0,804.0,804.0,6630.0,140621.0,23.0,41.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,
26/03/2025,2025-03-26,9.0,100.0,100.0,100.0,100.0,100.0,1.0,61.0,804.0,804.0,6630.0,140621.0,23.0,41.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
